                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    100,                  1.541,                0.90278,                 2.0158,                0.79384,                0.85292,                0.83921,                0.66852,                 1.4214,                0.55005,                 1.9309,              0.0050525,              0.0050525,              0.0050525
                    101,                   1.55,                0.89462,                 2.0178,                0.79405,                0.85093,                0.83884,                0.66895,                 1.4195,                0.54959,                 1.9301,              0.0050025,              0.0050025,              0.0050025
                    102,                 1.5403,                0.89476,                 2.0115,                 0.7941,                0.85104,                0.83983,                0.66839,                 1.4189,                0.54787,                 1.9307,              0.0049525,              0.0049525,              0.0049525
                    103,                 1.5578,                0.90619,                 2.0235,                0.79364,                0.85147,                0.84049,                0.67037,                 1.4188,                0.54718,                 1.9303,              0.0049026,              0.0049026,              0.0049026
                    104,                 1.5861,                0.92059,                 2.0267,                0.79389,                0.85209,                0.84009,                0.66787,                 1.4173,                0.54764,                 1.9302,              0.0048526,              0.0048526,              0.0048526
                    105,                 1.5855,                0.91467,                 2.0292,                0.78406,                0.85305,                0.83929,                0.66854,                 1.4158,                0.54835,                 1.9293,              0.0048026,              0.0048026,              0.0048026
                    106,                 1.6095,                0.93658,                 2.0406,                 0.7899,                0.85385,                0.84085,                0.67068,                 1.4144,                0.54704,                 1.9289,              0.0047526,              0.0047526,              0.0047526
                    107,                  1.622,                0.92876,                 2.0408,                0.77919,                0.85374,                0.84257,                0.66987,                 1.4129,                0.54669,                 1.9277,              0.0047027,              0.0047027,              0.0047027
                    108,                 1.6607,                0.96994,                 2.0606,                0.79998,                0.85352,                0.83735,                0.66633,                  1.411,                0.54572,                 1.9271,              0.0046527,              0.0046527,              0.0046527
                    109,                 1.7066,                 1.0037,                 2.0947,                0.80264,                0.85363,                 0.8357,                0.66665,                 1.4097,                0.54497,                 1.9253,              0.0046027,              0.0046027,              0.0046027
                    110,                 1.7397,                 1.0275,                 2.0981,                0.79876,                0.85403,                0.84104,                0.67154,                 1.4078,                0.54318,                 1.9243,              0.0045527,              0.0045527,              0.0045527
                    111,                 1.7423,                 1.0291,                 2.1015,                0.79651,                0.85407,                0.84217,                0.67352,                 1.4057,                0.54119,                 1.9228,              0.0045027,              0.0045027,              0.0045027
                    112,                 1.7479,                 1.0336,                 2.1079,                0.79932,                0.85407,                0.84268,                0.67399,                 1.4035,                0.53932,                 1.9211,              0.0044528,              0.0044528,              0.0044528
                    113,                 1.7296,                 1.0241,                 2.0924,                0.80108,                0.85029,                0.85078,                 0.6811,                 1.4012,                0.53934,                 1.9198,              0.0044028,              0.0044028,              0.0044028
                    114,                 1.7413,                 1.0267,                 2.1127,                0.79932,                0.84701,                0.85238,                0.68179,                 1.3983,                 0.5392,                 1.9188,              0.0043528,              0.0043528,              0.0043528
                    115,                 1.7398,                  1.024,                 2.1027,                0.80091,                0.84904,                 0.8527,                0.68196,                 1.3965,                0.53714,                 1.9178,              0.0043029,              0.0043029,              0.0043029
                    116,                 1.7419,                 1.0376,                 2.1034,                0.78045,                0.85501,                0.85403,                0.68221,                 1.3935,                0.53618,                 1.9164,              0.0042529,              0.0042529,              0.0042529
                    117,                 1.7133,                 1.0082,                 2.0874,                0.77605,                 0.8549,                0.84588,                0.67653,                 1.3912,                0.53394,                 1.9154,              0.0042029,              0.0042029,              0.0042029
                    118,                 1.7168,                 1.0207,                 2.0924,                0.76959,                0.85562,                0.84622,                0.67691,                 1.3891,                0.53362,                 1.9144,              0.0041529,              0.0041529,              0.0041529
                    119,                  1.721,                 1.0103,                 2.0919,                0.79145,                0.88221,                0.84777,                0.67681,                 1.3862,                0.53232,                 1.9133,               0.004103,               0.004103,               0.004103
                    120,                 1.7185,                 1.0128,                 2.0888,                0.79391,                0.88594,                  0.848,                0.67861,                 1.3836,                0.53139,                 1.9117,               0.004053,               0.004053,               0.004053
                    121,                 1.6903,                0.99195,                 2.0833,                0.77523,                0.89112,                0.84632,                0.67694,                 1.3811,                0.53035,                 1.9109,               0.004003,               0.004003,               0.004003
                    122,                 1.6976,                 1.0063,                 2.0786,                0.77639,                0.89126,                0.84599,                0.67627,                 1.3792,                 0.5292,                 1.9097,               0.003953,               0.003953,               0.003953
                    123,                 1.6607,                0.96266,                 2.0576,                0.77875,                0.89123,                0.84599,                0.67591,                 1.3762,                0.52822,                 1.9076,              0.0039031,              0.0039031,              0.0039031
                    124,                 1.6777,                0.97875,                 2.0728,                0.78091,                0.89104,                0.84889,                 0.6789,                 1.3733,                0.52766,                 1.9062,              0.0038531,              0.0038531,              0.0038531
                    125,                 1.6668,                0.97523,                 2.0608,                0.77881,                0.89104,                0.84947,                0.68009,                 1.3706,                0.52735,                 1.9044,              0.0038031,              0.0038031,              0.0038031
                    126,                 1.6548,                0.96604,                 2.0535,                0.76997,                0.89093,                0.84957,                0.67948,                 1.3684,                0.52805,                 1.9032,              0.0037531,              0.0037531,              0.0037531
                    127,                 1.6362,                 0.9627,                 2.0566,                0.76875,                0.89104,                0.85224,                0.67795,                 1.3662,                0.52702,                 1.9021,              0.0037032,              0.0037032,              0.0037032
                    128,                  1.662,                0.96632,                 2.0588,                 0.7644,                0.89111,                0.85215,                0.67836,                 1.3638,                0.52561,                 1.9005,              0.0036532,              0.0036532,              0.0036532
                    129,                 1.6335,                0.94439,                  2.054,                 0.7716,                0.89104,                0.85251,                0.67936,                 1.3615,                 0.5252,                 1.8988,              0.0036032,              0.0036032,              0.0036032
                    130,                 1.6482,                0.95471,                 2.0555,                0.75402,                0.89126,                0.85293,                0.68019,                 1.3593,                0.52557,                 1.8975,              0.0035532,              0.0035532,              0.0035532
                    131,                 1.6236,                0.95724,                 2.0521,                0.89971,                0.78247,                0.85027,                0.68067,                 1.3569,                0.52406,                 1.8962,              0.0035032,              0.0035032,              0.0035032
                    132,                 1.6206,                0.95432,                 2.0523,                0.89509,                0.78313,                0.85333,                 0.6801,                 1.3545,                0.52402,                 1.8945,              0.0034533,              0.0034533,              0.0034533
                    133,                 1.6142,                0.94579,                 2.0489,                 0.8934,                0.78329,                0.85355,                0.68741,                 1.3523,                 0.5229,                 1.8933,              0.0034033,              0.0034033,              0.0034033
                    134,                 1.6052,                0.93971,                 2.0403,                0.89359,                0.78367,                0.85321,                0.68836,                 1.3505,                0.52128,                 1.8926,              0.0033533,              0.0033533,              0.0033533
                    135,                 1.5881,                0.92397,                 2.0321,                0.89424,                0.78313,                0.85289,                0.69018,                  1.348,                0.52231,                 1.8914,              0.0033034,              0.0033034,              0.0033034
                    136,                 1.5885,                0.92968,                 2.0299,                0.88717,                0.78324,                 0.8527,                0.68339,                 1.3453,                0.52137,                 1.8899,              0.0032534,              0.0032534,              0.0032534
                    137,                 1.5776,                0.91707,                 2.0299,                0.88595,                0.78267,                0.85295,                0.68416,                 1.3433,                0.51901,                 1.8879,              0.0032034,              0.0032034,              0.0032034
                    138,                 1.5839,                0.93364,                 2.0276,                 0.8246,                0.81782,                0.85996,                0.68755,                 1.3414,                0.51816,                 1.8867,              0.0031534,              0.0031534,              0.0031534
                    139,                 1.5747,                0.91053,                 2.0179,                0.81866,                0.81843,                0.85981,                0.68717,                  1.339,                0.51669,                 1.8853,              0.0031035,              0.0031035,              0.0031035
                    140,                  1.575,                 0.9268,                  2.028,                0.90715,                0.80979,                0.86802,                0.69409,                 1.3368,                0.51539,                 1.8839,              0.0030535,              0.0030535,              0.0030535
                    141,                 1.5614,                0.89447,                 2.0193,                0.90833,                0.81766,                0.87061,                0.69589,                 1.3347,                0.51343,                 1.8829,              0.0030035,              0.0030035,              0.0030035
                    142,                 1.5416,                0.89374,                 2.0126,                0.90162,                0.81723,                  0.871,                0.69475,                 1.3326,                 0.5139,                 1.8819,              0.0029535,              0.0029535,              0.0029535
                    143,                 1.5442,                0.90034,                 2.0122,                0.89669,                0.81712,                0.87092,                0.69519,                 1.3306,                0.51335,                 1.8809,              0.0029036,              0.0029036,              0.0029036
                    144,                 1.5333,                0.88326,                 2.0126,                0.89751,                0.81701,                0.87115,                0.69763,                  1.329,                 0.5128,                 1.8798,              0.0028536,              0.0028536,              0.0028536
                    145,                 1.5399,                0.88951,                 2.0114,                0.89702,                0.81744,                0.87102,                0.69617,                 1.3269,                0.51158,                 1.8786,              0.0028036,              0.0028036,              0.0028036
                    146,                 1.5223,                0.88366,                 1.9954,                 0.8945,                0.81675,                0.86871,                0.69638,                 1.3249,                 0.5114,                 1.8777,              0.0027536,              0.0027536,              0.0027536
                    147,                 1.5251,                0.88929,                 2.0021,                0.89807,                0.81733,                0.86876,                0.69807,                 1.3228,                0.51008,                 1.8766,              0.0027037,              0.0027037,              0.0027037
                    148,                 1.5235,                 0.8906,                 2.0013,                0.89897,                0.81601,                0.86871,                0.69834,                  1.321,                0.50963,                 1.8756,              0.0026537,              0.0026537,              0.0026537
                    149,                 1.5086,                0.87588,                 1.9873,                0.89919,                0.81495,                 0.8687,                0.69936,                 1.3193,                0.50986,                 1.8743,              0.0026037,              0.0026037,              0.0026037
                    150,                  1.498,                0.87734,                 1.9918,                0.90037,                0.81495,                0.87206,                0.69747,                  1.317,                0.50821,                 1.8733,              0.0025537,              0.0025537,              0.0025537
                    151,                 1.5063,                0.86395,                 1.9941,                0.90157,                0.81393,                0.87738,                0.70237,                 1.3142,                0.50683,                  1.872,              0.0025038,              0.0025038,              0.0025038
                    152,                 1.4865,                0.86566,                 1.9894,                0.90049,                0.81465,                0.87759,                0.70356,                 1.3126,                0.50529,                  1.871,              0.0024538,              0.0024538,              0.0024538
                    153,                 1.4867,                0.85847,                 1.9958,                0.90635,                0.81377,                0.88318,                0.70723,                 1.3098,                0.50392,                   1.87,              0.0024038,              0.0024038,              0.0024038
                    154,                 1.4913,                0.86703,                  1.985,                0.91004,                0.81404,                0.88321,                0.70773,                 1.3078,                0.50317,                  1.869,              0.0023538,              0.0023538,              0.0023538
                    155,                 1.4743,                0.86275,                 1.9825,                0.91527,                0.81371,                 0.8828,                0.70747,                 1.3052,                0.50302,                 1.8677,              0.0023039,              0.0023039,              0.0023039
                    156,                 1.4603,                0.85457,                 1.9726,                0.91528,                 0.8126,                0.88416,                0.70773,                 1.3033,                0.50071,                 1.8669,              0.0022539,              0.0022539,              0.0022539
                    157,                 1.4551,                0.84996,                 1.9745,                0.91977,                0.81332,                0.88484,                0.70887,                 1.3008,                0.49973,                 1.8662,              0.0022039,              0.0022039,              0.0022039
                    158,                 1.4435,                 0.8316,                 1.9718,                0.93063,                0.81332,                0.88881,                0.71048,                 1.2977,                0.49916,                 1.8657,              0.0021539,              0.0021539,              0.0021539
                    159,                 1.4419,                0.84168,                 1.9786,                0.94211,                0.81221,                0.88982,                0.71056,                 1.2952,                0.49961,                 1.8645,              0.0021039,              0.0021039,              0.0021039
                    160,                 1.4438,                0.83613,                 1.9734,                0.94385,                0.81123,                0.89349,                0.71201,                 1.2929,                0.49708,                 1.8632,               0.002054,               0.002054,               0.002054
                    161,                 1.4342,                0.82695,                 1.9663,                 0.9448,                0.80968,                0.89446,                0.71301,                 1.2903,                0.49607,                 1.8621,               0.002004,               0.002004,               0.002004
                    162,                  1.418,                 0.8259,                 1.9597,                0.94789,                0.80853,                0.89531,                0.71397,                 1.2875,                0.49492,                  1.861,               0.001954,               0.001954,               0.001954
                    163,                 1.4267,                0.83343,                 1.9694,                0.94848,                0.80925,                0.89545,                0.71449,                 1.2852,                0.49342,                 1.8599,               0.001904,               0.001904,               0.001904
                    164,                   1.42,                0.82635,                 1.9621,                0.94782,                0.81165,                0.89987,                0.71737,                 1.2828,                 0.4908,                 1.8588,              0.0018541,              0.0018541,              0.0018541
                    165,                 1.4086,                0.80796,                  1.954,                0.94539,                 0.8125,                0.89995,                0.71768,                 1.2805,                0.48902,                  1.858,              0.0018041,              0.0018041,              0.0018041
                    166,                 1.4126,                0.81805,                 1.9605,                0.94583,                 0.8124,                0.90117,                0.71841,                 1.2784,                0.48795,                 1.8571,              0.0017541,              0.0017541,              0.0017541
                    167,                 1.3955,                0.81831,                 1.9604,                0.84361,                0.89021,                0.90114,                0.71924,                  1.276,                 0.4883,                 1.8561,              0.0017042,              0.0017042,              0.0017042
                    168,                 1.3899,                 0.8128,                  1.961,                0.84518,                0.88977,                0.90094,                0.71836,                 1.2732,                0.48775,                 1.8552,              0.0016542,              0.0016542,              0.0016542
                    169,                 1.3719,                0.78547,                 1.9463,                 0.8496,                 0.8901,                0.90089,                0.71874,                 1.2711,                0.48666,                 1.8541,              0.0016042,              0.0016042,              0.0016042
                    170,                 1.3765,                0.80372,                 1.9498,                0.84886,                0.88999,                0.90099,                0.71898,                  1.269,                0.48583,                 1.8533,              0.0015542,              0.0015542,              0.0015542
                    171,                 1.3754,                0.79089,                 1.9406,                0.85335,                0.88956,                0.90141,                0.71895,                 1.2665,                0.48649,                 1.8523,              0.0015043,              0.0015043,              0.0015043
                    172,                 1.3698,                 0.7932,                  1.946,                0.85393,                0.88986,                0.90374,                 0.7204,                 1.2638,                 0.4859,                 1.8515,              0.0014543,              0.0014543,              0.0014543
                    173,                 1.3531,                0.78389,                 1.9322,                0.85872,                0.88895,                0.90376,                0.72062,                  1.262,                0.48573,                 1.8507,              0.0014043,              0.0014043,              0.0014043
                    174,                 1.1698,                0.67017,                 1.8699,                0.85741,                0.88862,                0.90376,                0.72084,                 1.2623,                0.48515,                 1.8507,              0.0013543,              0.0013543,              0.0013543
                    175,                 1.2047,                 0.6777,                 1.8808,                0.85714,                0.88968,                0.90389,                0.72106,                 1.2615,                0.48476,                 1.8501,              0.0013044,              0.0013044,              0.0013044
                    176,                 1.2216,                0.69489,                  1.893,                0.85845,                0.89027,                0.90395,                0.72114,                 1.2612,                0.48444,                 1.8504,              0.0012544,              0.0012544,              0.0012544
                    177,                 1.2187,                0.68434,                 1.8933,                0.85661,                0.89056,                0.90397,                 0.7216,                 1.2605,                0.48457,                   1.85,              0.0012044,              0.0012044,              0.0012044
                    178,                 1.2438,                0.70535,                 1.8976,                0.85674,                0.88945,                0.90397,                0.72082,                 1.2603,                0.48404,                 1.8503,              0.0011544,              0.0011544,              0.0011544
                    179,                 1.2317,                 0.7061,                 1.8935,                0.85917,                0.88945,                  0.904,                0.72161,                 1.2596,                0.48307,                 1.8502,              0.0011044,              0.0011044,              0.0011044
                    180,                 1.2178,                0.69182,                 1.8863,                0.85898,                0.88965,                0.90402,                0.72124,                 1.2595,                0.48293,                   1.85,              0.0010545,              0.0010545,              0.0010545
                    181,                 1.2259,                0.69527,                 1.8935,                0.85928,                0.88955,                 0.9041,                0.72167,                 1.2588,                0.48208,                 1.8499,              0.0010045,              0.0010045,              0.0010045
                    182,                 1.2354,                0.69733,                 1.8904,                0.85833,                0.88851,                0.90413,                 0.7214,                 1.2587,                0.48234,                 1.8497,             0.00095452,             0.00095452,             0.00095452
                    183,                 1.2269,                0.69162,                 1.8875,                0.86038,                0.88873,                0.90581,                0.72309,                 1.2583,                0.48128,                 1.8496,             0.00090455,             0.00090455,             0.00090455
                    184,                 1.2446,                0.70776,                 1.8963,                 0.8592,                0.88873,                0.90033,                 0.7192,                 1.2582,                 0.4808,                 1.8495,             0.00085457,             0.00085457,             0.00085457
                    185,                 1.2423,                0.69451,                 1.8946,                0.85787,                0.88885,                0.90032,                0.71919,                 1.2575,                 0.4802,                 1.8493,              0.0008046,              0.0008046,              0.0008046
                    186,                  1.267,                0.71156,                 1.9068,                0.85739,                 0.8884,                0.90035,                0.71917,                  1.257,                0.48063,                 1.8492,             0.00075462,             0.00075462,             0.00075462
                    187,                  1.299,                0.74138,                 1.9253,                0.85681,                0.88923,                0.89889,                0.71831,                 1.2563,                0.48056,                 1.8491,             0.00070465,             0.00070465,             0.00070465
                    188,                 1.3128,                0.74827,                 1.9224,                 0.8641,                0.88615,                0.90245,                0.71871,                 1.2556,                0.48005,                 1.8488,             0.00065467,             0.00065467,             0.00065467
                    189,                  1.318,                0.75196,                 1.9304,                0.86485,                0.88517,                 0.9025,                0.71904,                 1.2553,                0.47968,                 1.8482,              0.0006047,              0.0006047,              0.0006047
                    190,                 1.3167,                0.75313,                 1.9343,                0.86626,                0.88494,                0.90253,                0.71898,                 1.2548,                0.47919,                 1.8481,             0.00055473,             0.00055473,             0.00055473
                    191,                  1.055,                0.45344,                 1.7636,                0.86756,                0.88541,                0.90252,                0.71914,                 1.2542,                0.47881,                 1.8482,             0.00050475,             0.00050475,             0.00050475
                    192,                 1.0422,                0.44839,                 1.7505,                0.87196,                0.88531,                0.90062,                0.71827,                 1.2534,                0.47915,                 1.8474,             0.00045478,             0.00045478,             0.00045478
                    193,                 1.0237,                0.43478,                 1.7405,                0.87379,                0.88537,                0.90056,                0.71905,                 1.2525,                0.47984,                 1.8469,              0.0004048,              0.0004048,              0.0004048
                    194,                 1.0111,                 0.4304,                 1.7482,                0.87798,                0.88522,                0.90113,                0.71946,                 1.2515,                0.48094,                 1.8462,             0.00035483,             0.00035483,             0.00035483
                    195,                 1.0026,                0.42476,                 1.7357,                0.87982,                0.88544,                0.90209,                0.72038,                 1.2509,                0.48036,                  1.846,             0.00030485,             0.00030485,             0.00030485
                    196,                0.99781,                 0.4251,                 1.7373,                0.87787,                0.88544,                0.90279,                0.72576,                 1.2502,                 0.4798,                 1.8458,             0.00025488,             0.00025488,             0.00025488
                    197,                0.99769,                 0.4209,                 1.7362,                0.87785,                0.88533,                0.90379,                0.72636,                 1.2496,                0.47963,                 1.8454,              0.0002049,              0.0002049,              0.0002049
                    198,                0.98831,                0.41364,                 1.7333,                0.87578,                0.88544,                0.90378,                0.72667,                 1.2483,                0.47942,                 1.8449,             0.00015493,             0.00015493,             0.00015493
                    199,                0.99213,                0.41736,                 1.7355,                0.87663,                0.88533,                0.90379,                 0.7268,                 1.2478,                0.47909,                 1.8446,             0.00010495,             0.00010495,             0.00010495
                    200,                0.97761,                0.41209,                 1.7298,                0.87632,                0.88555,                0.90373,                0.72686,                 1.2467,                0.47935,                  1.844,             5.4975e-05,             5.4975e-05,             5.4975e-05
